Date,Close,Open,High,Low,Vol.,Change %
10/10/2024,4227.4,4253.25,4293.85,4198.6,2.38M,-0.006
9/10/2024,4252.95,4260,4295,4246.7,1.08M,-0.0001
8/10/2024,4253.25,4272.6,4279.4,4203.95,1.54M,-0.0046
7/10/2024,4272.85,4273.9,4297.25,4229.4,1.47M,0.0048
4/10/2024,4252.25,4225,4298,4224.05,2.97M,0.0046
3/10/2024,4232.75,4262.6,4279,4210,3.35M,-0.0129
1/10/2024,4287.9,4255.55,4295.75,4242.95,1.82M,0.0045
30-09-2024,4268.5,4286.9,4298.75,4260.05,2.50M,-0.0093
27-09-2024,4308.7,4335,4378,4300.05,3.01M,0.0038
26-09-2024,4292.5,4260,4316.8,4260,3.96M,0.0042
25-09-2024,4274.75,4252.35,4289.6,4240,2.71M,0.0008
24-09-2024,4271.3,4251.65,4291,4240,3.01M,0.0007
23-09-2024,4268.5,4300,4309.4,4253,1.70M,-0.0038
20-09-2024,4284.9,4316.9,4330.7,4227.5,5.45M,-0.0026
19-09-2024,4296.15,4390.05,4422.2,4281.8,2.93M,-0.0115
18-09-2024,4346.15,4497.05,4497.05,4321,2.96M,-0.0354
17-09-2024,4505.65,4513.25,4535.8,4466,1.70M,-0.0017
16-09-2024,4513.25,4527,4546.05,4494.45,1.16M,-0.0021
13-09-2024,4522.6,4530,4547,4505,1.46M,0.0011
12/9/2024,4517.7,4510.25,4532.6,4431.3,2.74M,0.0086
11/9/2024,4479.35,4521.45,4549.35,4471.25,1.33M,-0.0063
10/9/2024,4507.85,4442.45,4539.95,4440.45,1.39M,0.0131
9/9/2024,4449.55,4455,4490.25,4430.5,1.18M,-0.0016
6/9/2024,4456.75,4473.95,4518.95,4440,1.65M,-0.0043
5/9/2024,4475.95,4481,4499,4454.15,1.69M,-0.0007
4/9/2024,4479.25,4476.95,4487,4436.7,1.27M,-0.0073
3/9/2024,4512.35,4521.05,4555.9,4495.9,1.72M,-0.0019
2/9/2024,4521.05,4576,4588,4512,1.22M,-0.0072
30-08-2024,4553.75,4500,4592.25,4487.8,3.64M,0.0093
29-08-2024,4511.8,4460,4556,4460,2.13M,0.0013
28-08-2024,4506.05,4498.75,4562.5,4457.3,1.85M,0.002
27-08-2024,4497.15,4505,4510,4486.8,930.70K,-0.0012
26-08-2024,4502.45,4489,4552.15,4485,1.84M,0.0086
23-08-2024,4463.9,4500,4506,4455,1.81M,-0.0085
22-08-2024,4502,4560,4560.95,4497.2,1.83M,-0.0109
21-08-2024,4551.5,4518,4560,4492.55,1.90M,0.0062
20-08-2024,4523.3,4505,4565,4500,2.21M,0.0074
19-08-2024,4490,4421,4494.25,4390.35,2.06M,0.0167
16-08-2024,4416.05,4350,4427,4325.1,3.46M,0.0281
14-08-2024,4295.25,4209,4306.2,4188.15,3.23M,0.0234
13-08-2024,4196.95,4213,4234,4183,1.50M,0.0003
12/8/2024,4195.65,4230,4239,4186.35,936.91K,-0.0078
9/8/2024,4228.75,4217,4253.65,4205.55,1.30M,0.0135
8/8/2024,4172.55,4181,4232,4160,2.44M,-0.0066
7/8/2024,4200.45,4228,4244.95,4180.3,1.24M,0.007
6/8/2024,4171.2,4170.95,4258.25,4160.8,2.20M,0.0039
5/8/2024,4155.05,4239,4239,4110.5,2.79M,-0.0299
2/8/2024,4283.05,4365,4398,4270,2.81M,-0.0259
1/8/2024,4397.1,4399.4,4419.3,4365.05,2.20M,0.0027
31-07-2024,4385.35,4350,4414,4345,2.33M,0.0046
30-07-2024,4365.35,4391.1,4398,4327.3,1.80M,-0.0036
29-07-2024,4381.1,4415,4431,4371,1.75M,-0.0015
26-07-2024,4387.85,4350,4422.45,4337.05,3.55M,0.0151
25-07-2024,4322.5,4295,4343,4274.2,2.81M,0.0038
24-07-2024,4306.25,4287.5,4339.1,4268.1,1.81M,0.0009
23-07-2024,4302.35,4283,4361.7,4266.3,2.37M,0.0035
22-07-2024,4287.35,4299.95,4319.95,4265,1.90M,-0.0035
19-07-2024,4302.4,4317.4,4358.75,4285.25,3.90M,-0.003
18-07-2024,4315.55,4160,4325,4160,5.61M,0.0328
16-07-2024,4178.45,4172,4194.55,4144.9,2.03M,0.0022
15-07-2024,4169.2,4235.7,4240,4157.05,4.85M,-0.0035
12/7/2024,4183.95,3980,4199.95,3971.3,13.51M,0.0663
11/7/2024,3923.7,3931,3980,3895.6,4.87M,0.0037
10/7/2024,3909.15,3983.7,4003.3,3902,2.67M,-0.0192
9/7/2024,3985.5,3985,4006.95,3975.1,1.31M,-0.0019
8/7/2024,3993.2,4022,4031.25,3978.05,1.76M,-0.0046
5/7/2024,4011.8,4010,4026.75,3988,1.67M,-0.0023
4/7/2024,4020.95,3999.85,4047.35,3982.1,2.52M,0.014
3/7/2024,3965.25,4020,4026.1,3955,1.82M,-0.013
2/7/2024,4017.4,3993.6,4023.4,3982.55,2.31M,0.0099
1/7/2024,3978.2,3884,4001.7,3884,2.66M,0.019
28-06-2024,3904.15,3917.8,3960,3897.85,2.73M,-0.0076
27-06-2024,3934.15,3831,3942,3818.1,4.53M,0.0203
26-06-2024,3855.85,3844.5,3866.95,3841,1.64M,0.0045
25-06-2024,3838.45,3817,3847.65,3792.9,1.34M,0.0057
24-06-2024,3816.8,3808.75,3857,3791.3,1.70M,0.0016
21-06-2024,3810.75,3827,3877.8,3798.05,4.64M,0.0062
20-06-2024,3787.25,3796,3809.95,3780.05,2.85M,-0.0038
19-06-2024,3801.7,3827.65,3833.85,3792.95,1.51M,-0.0035
18-06-2024,3815.1,3826.05,3842,3795.05,1.77M,-0.0044
14-06-2024,3832.05,3889,3889,3828,1.86M,-0.0119
13-06-2024,3878.15,3856.8,3890,3852,1.93M,0.0121
12/6/2024,3831.65,3874.4,3893.5,3827.45,2.18M,-0.0053
11/6/2024,3852.1,3845,3879.95,3841,1.42M,-0.0017
10/6/2024,3858.7,3895,3905.9,3841.9,1.73M,-0.0091
7/6/2024,3893.95,3837.3,3915,3837.3,4.55M,0.0166
6/6/2024,3830.4,3781,3839.9,3741.5,4.33M,0.0224
5/6/2024,3746.45,3716,3783.8,3700,2.80M,0.0085
4/6/2024,3715,3700,3745,3591.5,3.40M,0.0033
3/6/2024,3702.85,3732.8,3751.55,3696,2.16M,0.0087
31-05-2024,3670.95,3740,3749.8,3653.75,10.96M,-0.0174
30-05-2024,3736.1,3777,3794.4,3715.45,2.92M,-0.0178
29-05-2024,3803.65,3848.9,3848.9,3800,1.57M,-0.0094
28-05-2024,3839.9,3858,3870,3830,1.80M,-0.0019
27-05-2024,3847.05,3855,3908.35,3841.35,1.84M,-0.0006
24-05-2024,3849.5,3878.25,3883.8,3844.3,1.31M,-0.0113
23-05-2024,3893.45,3840.95,3905,3825.5,2.10M,0.016
22-05-2024,3832,3835,3841.25,3817.55,1.31M,0.0031
21-05-2024,3820.2,3830.6,3844.75,3810.05,1.91M,-0.0081
18-05-2024,3851.45,3847,3861.9,3840,91.07K,0.0045
17-05-2024,3834.1,3919,3920,3830,2.77M,-0.0171
16-05-2024,3900.95,3891.1,3909.5,3843.5,2.60M,0.0053
15-05-2024,3880.4,3904.5,3926.95,3875.5,1.12M,-0.0053
14-05-2024,3901.2,3936,3945.8,3892.9,1.06M,-0.0118
13-05-2024,3947.8,3884.5,3955,3870,931.33K,0.0138
10/5/2024,3893.9,3962.6,3973.6,3885.05,1.67M,-0.0167
9/5/2024,3960.2,3962,3971,3910.05,1.73M,-0.0042
8/5/2024,3976.95,3961,3984.3,3938.6,1.25M,-0.0005
7/5/2024,3978.95,3930.8,3988,3913.5,2.06M,0.0148
6/5/2024,3921.05,3853,3939.95,3853,2.05M,0.0202
3/5/2024,3843.4,3890.15,3893.6,3797.6,2.96M,-0.0052
2/5/2024,3863.3,3778.05,3871.1,3778.05,2.49M,0.0112
30-04-2024,3820.65,3872,3881.75,3810,2.20M,-0.0128
